"species_code","common_name","scientific_name"
"reebul1","Red-eyed Bulbul","Pycnonotus brunneus"
"reedov1","Red-eyed Dove","Streptopelia semitorquata"
"reevir1","Red-eyed Vireo","Vireo olivaceus"
"refblu","Red-flanked/Qilian Bluetail","Tarsiger cyanurus/albocoeruleus"
"refcoo1","Red-fronted Coot","Fulica rufifrons"
"refcor","Red-faced Cormorant","Urile urile"
"refpar1","Red-fronted Parrotlet","Touit costaricensis"
"refpar4","Red-crowned Parakeet","Cyanoramphus novaezelandiae"
"refspi1","Red-faced Spinetail","Cranioleuca erythrops"
"refwar","Red-faced Warbler","Cardellina rubrifrons"
"regcoo1","Red-gartered Coot","Fulica armillata"
"regpar1","Regent Parrot","Polytelis anthopeplus"
"rehbar1","Red-headed Barbet","Eubucco bourcierii"
"rehtan1","Red-headed Tanager","Piranga erythrocephala"
"rehwoo","Red-headed Woodpecker","Melanerpes erythrocephalus"
"rekdot1","Red-kneed Dotterel","Erythrogonys cinctus"
"relcor1","Red-legged Cormorant","Poikilocarbo gaimardi"
"relhon1","Red-legged Honeycreeper","Cyanerpes cyaneus"
"relpar","Red-lored Amazon","Amazona autumnalis"
"relpar1","Red-legged Partridge","Alectoris rufa"
"relser1","Red-legged Seriema","Cariama cristata"
"relthr1","Red-legged Thrush","Turdus plumbeus"
"rempar","Red-masked Parakeet","Psittacara erythrogenys"
"renfal1","Red-necked Falcon","Falco chicquera"
"rengre","Red-necked Grebe","Podiceps grisegena"
"rennig1","Red-necked Nightjar","Caprimulgus ruficollis"
"renpar1","Red-necked Amazon","Amazona arausiaca"
"renpha","Red-necked Phalarope","Phalaropus lobatus"
"rensap","Red-naped Sapsucker","Sphyrapicus nuchalis"
"rensti","Red-necked Stint","Calidris ruficollis"
"rerpar1","Red-rumped Parrot","Psephotus haematonotus"
"rerwoo1","Red-rumped Woodpecker","Dryobates kirkii"
"resbla1","Red-shouldered Blackbird","Agelaius assimilis"
"reshaw","Red-shouldered Hawk","Buteo lineatus"
"resque1","Resplendent Quetzal","Pharomachrus mocinno"
"retcar2","Red-throated Caracara","Ibycter americanus"
"rethaw","Red-tailed Hawk","Buteo jamaicensis"
"retloo","Red-throated Loon","Gavia stellata"
"revbul","Red-vented Bulbul","Pycnonotus cafer"
"rewbla","Red-winged Blackbird","Agelaius phoeniceus"
"rewbul","Red-whiskered Bulbul","Pycnonotus jocosus"
"rewlap1","Red-wattled Lapwing","Vanellus indicus"
"rewpar1","Red-winged Parrot","Aprosmictus erythropterus"
"rewsta1","Red-winged Starling","Onychognathus morio"
"rewtin1","Red-winged Tinamou","Rhynchotus rufescens"
"rhiauk","Rhinoceros Auklet","Cerorhinca monocerata"
"ribgul","Ring-billed Gull","Larus delawarensis"
"ricpip1","Richard's Pipit","Anthus richardi"
"ridhaw1","Ridgway's Hawk","Buteo ridgwayi"
"ridrai1","Ridgway's Rail","Rallus obsoletus"
"riflem1","Rifleman","Acanthisitta chloris"
"rindov","Ring-necked Dove","Streptopelia capicola"
"rinduc","Ring-necked Duck","Aythya collaris"
"rinkin1","Ringed Kingfisher","Megaceryle torquata"
"rinphe1","Ring-necked Pheasant","Phasianus colchicus"
"rinphe2","Green Pheasant","Phasianus versicolor"
"rintea1","Ringed Teal","Callonetta leucophrys"
"ritpig","Ring-tailed Pigeon","Patagioenas caribaea"
"rivter1","River Tern","Sterna aurantia"
"rivwre1","Riverside Wren","Cantorchilus semibadius"
"rngtyr1","Rufous-naped Ground-Tyrant","Muscisaxicola rufivertex"
"rnwrai1","Rufous-necked Wood-Rail","Aramides axillaris"
"roahaw","Roadside Hawk","Rupornis magnirostris"
"robbun1","Rose-bellied Bunting","Passerina rositae"
"robgro","Rose-breasted Grosbeak","Pheucticus ludovicianus"
"robpoc1","Rosy-billed Pochard","Netta peposaca"
"robqua1","Rock Bush-Quail","Perdicula argoondah"
"rocpen1","Southern Rockhopper Penguin","Eudyptes chrysocome"
"rocpig","Rock Pigeon","Columba livia"
"rocpip1","Rock Pipit","Anthus petrosus"
"rocpta1","Rock Ptarmigan","Lagopus muta"
"rocsan","Rock Sandpiper","Calidris ptilocnemis"
"rocwre","Rock Wren","Salpinctes obsoletus"
"rolhaw","Rough-legged Hawk","Buteo lagopus"
"roltyr1","White-fronted Tyrannulet","Acrochordopus zeledoni"
"rook1","Rook","Corvus frugilegus"
"rorpar","Rose-ringed Parakeet","Psittacula krameri"
"rosgoo","Ross's Goose","Anser rossii"
"rosgul","Ross's Gull","Rhodostethia rosea"
"rosrob1","Rose Robin","Petroica rosea"
"rosspo1","Roseate Spoonbill","Platalea ajaja"
"roster","Roseate Tern","Sterna dougallii"
"rotbec","Rose-throated Becard","Pachyramphus aglaiae"
"rottan1","Rose-throated Tanager","Piranga roseogularis"
"rottan2","Rosy Thrush-Tanager","Rhodinocichla rosea"
"royfly1","Tropical Royal Flycatcher","Onychorhynchus coronatus"
"royspo1","Royal Spoonbill","Platalea regia"
"royter1","Royal Tern","Thalasseus maximus"
"rtatan1","Red-throated Ant-Tanager","Driophlox fuscicauda"
"rtbcoc1","Red-tailed Black-Cockatoo","Calyptorhynchus banksii"
"rthhum","Ruby-throated Hummingbird","Archilochus colubris"
"rtlhum","Rufous-tailed Hummingbird","Amazilia tzacatl"
"rtrthr1","Rufous-tailed Rock-Thrush","Monticola saxatilis"
"rubant1","Rufous-breasted Antthrush","Formicarius rufipectus"
"rubcha1","Rufous-bellied Chachalaca","Ortalis wagleri"
"rubcon1","Rufous-browed Conebill","Conirostrum rufum"
"rubcra1","Ruddy-breasted Crake","Zapornia fusca"
"rubher","Rufous-breasted Hermit","Glaucis hirsutus"
"rubmin1","Rufous-banded Miner","Geositta rufipennis"
"rubpep1","Rufous-browed Peppershrike","Cyclarhis gujanensis"
"rubrob","Rufous-backed Robin","Turdus rufopalliatus"
"rubsee1","Ruddy-breasted Seedeater","Sporophila minuta"
"rubsee2","Rufous-bellied Seedsnipe","Attagis gayi"
"rubspi2","Rufous-breasted Spinetail","Synallaxis erythrothorax"
"rubspi5","Coiba Spinetail","Cranioleuca dissita"
"rubwre1","Rufous-breasted Wren","Pheugopedius rutilus"
"rubwre2","Rufous-browed Wren","Troglodytes rufociliatus"
"rucbab1","Rufous-capped Babbler","Cyanoderma ruficeps"
"ruccoq1","Rufous-crested Coquette","Lophornis delattrei"
"rucdot1","Rufous-chested Dotterel","Zonibyx modestus"
"ruckin","Ruby-crowned Kinglet","Corthylio calendula"
"rucmot1","Russet-crowned Motmot","Momotus mexicanus"
"rucrob1","Rufous-collared Robin","Turdus rufitorques"
"rucsee1","Rusty-collared Seedeater","Sporophila collaris"
"rucspa","Rufous-crowned Sparrow","Aimophila ruficeps"
"rucspa1","Rufous-collared Sparrow","Zonotrichia capensis"
"rucwar","Rufous-capped Warbler","Basileuterus rufifrons"
"rucwar4","Chestnut-capped Warbler","Basileuterus delattrii"
"rudcra1","Ruddy Crake","Laterallus ruber"
"rudduc","Ruddy Duck","Oxyura jamaicensis"
"rudkin1","Ruddy Kingfisher","Halcyon coromanda"
"rudpig","Ruddy Pigeon","Patagioenas subvinacea"
"rudtre1","Ruddy Treerunner","Margarornis rubiginosus"
"rudtur","Ruddy Turnstone","Arenaria interpres"
"rudwoo1","Ruddy Woodcreeper","Dendrocincla homochroa"
"ruff","Ruff","Calidris pugnax"
"rufgle1","Ruddy Foliage-gleaner","Clibanornis rubiginosus"
"rufgro","Ruffed Grouse","Bonasa umbellus"
"rufhum","Rufous Hummingbird","Selasphorus rufus"
"rufmot1","Rufous Motmot","Baryphthengus martii"
"rufmou1","Rufous Mourner","Rhytipterna holerythra"
"rufnig1","Rufous Nightjar","Antrostomus rufus"
"rufpih1","Rufous Piha","Lipaugus unirufus"
"rufpri2","Rufous-fronted Prinia","Prinia buchanani"
"rufsab1","Rufous Sabrewing","Pampa rufa"
"ruftre2","Rufous Treepie","Dendrocitta vagabunda"
"rufwar1","Rufous-faced Warbler","Abroscopus albogularis"
"rufwhi1","Rufous Whistler","Pachycephala rufiventris"
"rugdov","Ruddy Ground Dove","Columbina talpacoti"
"ruhcha1","Rufous-headed Chachalaca","Ortalis erythroptera"
"ruhgoo1","Ruddy-headed Goose","Chloephaga rubidiceps"
"rulowl1","Rufous-legged Owl","Strix rufipes"
"rumfly1","Rusty-margined Flycatcher","Myiozetetes cayanensis"
"runher1","Nankeen Night Heron","Nycticorax caledonicus"
"runthr1","Russet Nightingale-Thrush","Catharus occidentalis"
"runwor1","Russet-naped Wood-Rail","Aramides albiventris"
"ruqdov","Ruddy Quail-Dove","Geotrygon montana"
"rurant1","Rufous-rumped Antwren","Euchrepomis callinota"
"rusant1","Russet Antshrike","Thamnistes anabatinus"
"rusbla","Rusty Blackbird","Euphagus carolinus"
"russpa1","Rusty Sparrow","Aimophila rufescens"
"russpa2","Russet Sparrow","Passer cinnamomeus"
"rutfly1","Rufous-tailed Flycatcher","Myiarchus validus"
"rutfly2","Ruddy-tailed Flycatcher","Terenotriccus erythrurus"
"ruthaw1","Rufous-tailed Hawk","Buteo ventralis"
"ruther1","Rufescent Tiger-Heron","Tigrisoma lineatum"
"ruthum1","Ruby-topaz Hummingbird","Chrysolampis mosquitus"
"rutjac1","Rufous-tailed Jacamar","Galbula ruficauda"
"rutlar2","Rufous-tailed Lark","Ammomanes phoenicura"
"rutpla1","Rufous-tailed Plantcutter","Phytotoma rara"
"rutscr1","Rufous-tailed Scrub-Robin","Cercotrichas galactotes"
"rutsol1","Rufous-throated Solitaire","Myadestes genibarbis"
"rutthr1","Russet-tailed Thrush","Zoothera heinei"
"ruvcha1","Rufous-vented Chachalaca","Ortalis ruficauda"
"ruwspa","Rufous-winged Sparrow","Peucaea carpalis"
"ruwtan1","Rufous-winged Tanager","Tangara lavinia"
"ruwwoo1","Rufous-winged Woodpecker","Piculus simplex"
"rwbtyr1","Rufous-webbed Bush-Tyrant","Cnemarchus rufipennis"
"sabgul","Sabine's Gull","Xema sabini"
"sabjay","San Blas Jay","Cyanocorax sanblasianus"
"sabsto1","Saddle-billed Stork","Ephippiorhynchus senegalensis"
"sacbla2","Saffron-cowled Blackbird","Xanthopsar flavus"
"sacibi2","African Sacred Ibis","Threskiornis aethiopicus"
"sackin1","Sacred Kingfisher","Todiramphus sanctus"
"saddle2","North Island Saddleback","Philesturnus rufusater"
"saddle3","South Island Saddleback","Philesturnus carunculatus"
"sadfly1","Sad Flycatcher","Myiarchus barbirostris"
"saffin","Saffron Finch","Sicalis flaveola"
"saggro","Greater Sage-Grouse","Centrocercus urophasianus"
"sagspa1","Sagebrush Sparrow","Artemisiospiza nevadensis"
"sagthr","Sage Thrasher","Oreoscoptes montanus"
"salalb1","Salvin's Albatross","Thalassarche salvini"
"salwar1","Sakhalin Leaf Warbler","Phylloscopus borealoides"
"sancra","Sandhill Crane","Antigone canadensis"
"sander","Sanderling","Calidris alba"
"sanlar1","Sand Lark","Alaudala raytal"
"santer1","Sandwich Tern","Thalasseus sandvicensis"
"sapayo1","Sapayoa","Sapayoa aenigma"
"sarcra1","Sarus Crane","Antigone antigone"
"sarwar1","Sardinian Warbler","Curruca melanocephala"
"satbow1","Satin Bowerbird","Ptilonorhynchus violaceus"
"satfly1","Satin Flycatcher","Myiagra cyanoleuca"
"saugul2","Saunders's Gull","Saundersilarus saundersi"
"savhaw1","Savanna Hawk","Buteogallus meridionalis"
"savnig1","Savanna Nightjar","Caprimulgus affinis"
"savspa","Savannah Sparrow","Passerculus sandwichensis"
"savwar1","Savi's Warbler","Locustella luscinioides"
"saypho","Say's Phoebe","Sayornis saya"
"saytan1","Sayaca Tanager","Thraupis sayaca"
"sbffal1","Slaty-backed Forest-Falcon","Micrastur mirandollei"
"sbgtyr1","Spot-billed Ground-Tyrant","Muscisaxicola maculirostris"
"sbnthr1","Slaty-backed Nightingale-Thrush","Catharus fuscater"
"sbsbab2","Black-necklaced Scimitar-Babbler","Erythrogenys erythrocnemis"
"sbsbab3","Streak-breasted Scimitar-Babbler","Pomatorhinus ruficollis"
"scaant1","Scaled Antpitta","Grallaria guatimalensis"
"scaibi","Scarlet Ibis","Eudocimus ruber"
"scamac1","Scarlet Macaw","Ara macao"
"scamin3","Orange Minivet","Pericrocotus flammeus"
"scamyz1","Scarlet Myzomela","Myzomela sanguinolenta"
"scapig2","Scaled Pigeon","Patagioenas speciosa"
"scaqua","Scaled Quail","Callipepla squamata"
"scatan","Scarlet Tanager","Piranga olivacea"
"scbflo1","Scarlet-backed Flowerpecker","Dicaeum cruentatum"
"scbhum1","Scaly-breasted Hummingbird","Phaeochroa cuvierii"
"scblor1","Scaly-breasted Lorikeet","Trichoglossus chlorolepidotus"
"scbtan1","Sooty-capped Chlorospingus","Chlorospingus pileatus"
"scbtan2","Scarlet-browed Tanager","Heterospingus xanthopygius"
"scbthr","Scaly-breasted Thrasher","Allenia fusca"
"scbwoo4","Scimitar-billed Woodcreeper","Drymornis bridgesii"
"scbwre1","Scaly-breasted Wren","Microcerculus marginatus"
"schbla1","Scarlet-headed Blackbird","Amblyramphus holosericeus"
"scihum1","Scintillant Hummingbird","Selasphorus scintilla"
"scnpig1","Scaly-naped Pigeon","Patagioenas squamosa"
"scoori","Scott's Oriole","Icterus parisorum"
"scptyr1","Scale-crested Pygmy-Tyrant","Lophotriccus pileatus"
"scrbla1","Scrub Blackbird","Dives warczewiczi"
"scrcac1","Scarlet-rumped Cacique","Cacicus uropygialis"
"scrcow1","Screaming Cowbird","Molothrus rufoaxillaris"
"screup1","Scrub Euphonia","Euphonia affinis"
"screup3","West Mexican Euphonia","Euphonia godmani"
"scrgre1","Scrub Greenlet","Hylophilus flavipes"
"scrpih1","Screaming Piha","Lipaugus vociferans"
"scrtan1","Scrub Tanager","Stilpnia vitriolina"
"sctdac1","Scarlet-thighed Dacnis","Dacnis venusta"
"sctear1","Scale-throated Earthcreeper","Upucerthia dumetaria"
"sctfly","Scissor-tailed Flycatcher","Tyrannus forficatus"
"sctlea1","Scaly-throated Leaftosser","Sclerurus guatemalensis"
"seacin1","Seaside Cinclodes","Cinclodes nigrofumosus"
"seaspa","Seaside Sparrow","Ammospiza maritima"
"secfly1","Sepia-capped Flycatcher","Leptopogon amaurocephalus"
"secret2","Secretarybird","Sagittarius serpentarius"
"sedwre","Grass Wren","Cistothorus platensis"
"sedwre1","Sedge Wren","Cistothorus stellaris"
"semhaw","Semiplumbeous Hawk","Leucopternis semiplumbeus"
"semplo","Semipalmated Plover","Charadrius semipalmatus"
"semsan","Semipalmated Sandpiper","Calidris pusilla"
"sharpb1","Sharpbill","Oxyruncus cristatus"
"shbcan2","Sharp-billed Canastero","Asthenes pyrrholeuca"
"shbcuc1","Shining Bronze-Cuckoo","Chalcites lucidus"
"shbdow","Short-billed Dowitcher","Limnodromus griseus"
"shbpig","Short-billed Pigeon","Patagioenas nigrirostris"
"sheowl","Short-eared Owl","Asio flammeus"
"shicow","Shiny Cowbird","Molothrus bonariensis"
"shihon1","Shining Honeycreeper","Cyanerpes lucidus"
"shshaw","Sharp-shinned Hawk","Accipiter striatus"
"shteag1","Short-toed Snake-Eagle","Circaetus gallicus"
"shtfly1","Slate-headed Tody-Flycatcher","Poecilotriccus sylvia"
"shtgro","Sharp-tailed Grouse","Tympanuchus phasianellus"
"shthaw","Short-tailed Hawk","Buteo brachyurus"
"shtnig1","Short-tailed Nighthawk","Lurocalis semitorquatus"
"shtsan","Sharp-tailed Sandpiper","Calidris acuminata"
"shtshe","Short-tailed Shearwater","Ardenna tenuirostris"
"shtstr1","Sharp-tailed Streamcreeper","Lochmias nematura"
"shtswi1","Short-tailed Swift","Chaetura brachyura"
"shttre1","Short-toed Treecreeper","Certhia brachydactyla"
"sibrob","Siberian Blue Robin","Larvivora cyane"
"sibsto1","Siberian Stonechat","Saxicola maurus"
"sibtan2","Silver-beaked Tanager","Ramphocelus carbo"
"sicswi1","Sick's Swift","Chaetura meridionalis"
"siemes1","Silver-eared Mesia","Leiothrix argentauris"
"siftap1","Silvery-fronted Tapaculo","Scytalopus argentifrons"
"silant1","Silvered Antbird","Sclateria naevia"
"silgre1","Silvery Grebe","Podiceps occipitalis"
"silgul2","Silver Gull","Chroicocephalus novaehollandiae"
"siltea1","Silver Teal","Spatula versicolor"
"silver3","Silvereye","Zosterops lateralis"
"simspa1","Sierra Madre Sparrow","Xenospiza baileyi"
"sincro1","Sinaloa Crow","Corvus sinaloae"
"sinqua1","Singing Quail","Dactylortyx thoracicus"
"sinwre1","Sinaloa Wren","Thryophilus sinaloa"
"sirmal1","Sirkeer Malkoha","Taccocua leschenaultii"
"siryst3","Choco Sirystes","Sirystes albogriseus"
"sitjay1","Silvery-throated Jay","Cyanolyca argentigula"
"sitspi1","Silvery-throated Spinetail","Synallaxis subpudica"
"sittan1","Silver-throated Tanager","Tangara icterocephala"
"skylar","Eurasian Skylark","Alauda arvensis"
"slaant1","Slaty Antwren","Myrmotherula schisticolor"
"slaflo1","Slaty Flowerpiercer","Diglossa plumbea"
"slaspi1","Slaty Spinetail","Synallaxis brachyura"
"slavir1","Slaty Vireo","Vireo brevipennis"
"slbblc1","Carnaby's Black-Cockatoo","Zanda latirostris"
"slbfin1","St. Lucia Black Finch","Melanospiza richardsoni"
"slbfin3","Slender-billed Finch","Xenospingus concolor"
"slbgul","Slaty-backed Gull","Larus schistisagus"
"slbpar1","Slender-billed Parakeet","Enicognathus leptorhynchus"
"slbpri1","Slender-billed Prion","Pachyptila belcheri"
"slbtin1","Slaty-breasted Tinamou","Crypturellus boucardi"
"slccoo1","Slate-colored Coot","Fulica ardesiaca"
"slcfly1","Slaty-capped Flycatcher","Leptopogon superciliaris"
"slcgro1","Slate-colored Grosbeak","Saltator grossus"
"slcsee1","Slate-colored Seedeater","Sporophila schistacea"
"slcsol1","Slate-colored Solitaire","Myadestes unicolor"
"sleshe1","Slender Sheartail","Doricha enicura"
"sltgna1","Slate-throated Gnatcatcher","Polioptila schistaceigula"
"sltred","Slate-throated Redstart","Myioborus miniatus"
"slttro1","Slaty-tailed Trogon","Trogon massena"
"smbani","Smooth-billed Ani","Crotophaga ani"
"smbela1","Small-billed Elaenia","Elaenia parvirostris"
"smbwoo1","Smoky-brown Woodpecker","Dryobates fumigatus"
"smilon","Smith's Longspur","Calcarius pictus"
"snakit","Snail Kite","Rostrhamus sociabilis"
"snbfly1","Snowy-browed Flycatcher","Ficedula hyperythra"
"snbhum1","Snowy-bellied Hummingbird","Saucerottia edward"
"snobun","Snow Bunting","Plectrophenax nivalis"
"snocot1","Snowy Cotinga","Carpodectes nitidus"
"snoegr","Snowy Egret","Egretta thula"
"snogoo","Snow Goose","Anser caerulescens"
"snoowl1","Snowy Owl","Bubo scandiacus"
"snoplo5","Snowy Plover","Anarhynchus nivosus"
"snoshe2","Snowy Sheathbill","Chionis albus"
"snowca1","Snowcap","Microchera albocoronata"
"soapas1","South American Painted-Snipe","Nycticryphes semicollaris"
"soashe1","South African Shelduck","Tadorna cana"
"soasni3","Magellanic Snipe","Gallinago magellanica"
"soatan1","Sooty Ant-Tanager","Driophlox gutturalis"
"soater1","South American Tern","Sterna hirundinacea"
"sobkiw1","Southern Brown Kiwi","Apteryx australis"
"sobtyr1","Southern Beardless-Tyrannulet","Camptostoma obsoletum"
"socfly1","Social Flycatcher","Myiozetetes similis"
"socwea1","Sociable Weaver","Philetairus socius"
"soffin1","Sooty-faced Finch","Arremon crassirostris"
"soghor1","Southern Ground-Hornbill","Bucorvus leadbeateri"
"sohtyr1","Sooty-headed Tyrannulet","Phyllomyias griseiceps"
"soioys1","South Island Oystercatcher","Haematopus finschi"
"soiwre1","South Island Wren","Xenicus gilviventris"
"soleag1","Solitary Eagle","Buteogallus solitarius"
"solsan","Solitary Sandpiper","Tringa solitaria"
"sonspa","Song Sparrow","Melospiza melodia"
"sonthr1","Song Thrush","Turdus philomelos"
"sonwre1","Song Wren","Cyphorhinus phaeocephalus"
"soogra2","Sooty Grassquit","Asemospiza fuliginosa"
"soogro1","Sooty Grouse","Dendragapus fuliginosus"
"soooys1","Sooty Oystercatcher","Haematopus fuliginosus"
"soorob1","Sooty Thrush","Turdus nigrescens"
"sooshe","Sooty Shearwater","Ardenna grisea"
"sopsku1","South Polar Skua","Stercorarius maccormicki"
"sora","Sora","Porzana carolina"
"souben1","Southern Bentbill","Oncostoma olivaceum"
"soubou1","Southern Boubou","Laniarius ferrugineus"
"souemu1","Southern Emuwren","Stipiturus malachurus"
"soufis1","Southern Fiscal","Lanius collaris"
"souful1","Southern Fulmar","Fulmarus glacialoides"
"soulap1","Southern Lapwing","Vanellus chilensis"
"soumar","Southern Martin","Progne elegans"
"souscr1","Southern Screamer","Chauna torquata"
"souwhi1","Southern Whiteface","Aphelocephala leucopsis"
"souwpw1","Mexican Whip-poor-will","Antrostomus arizonae"
"spaeag1","Spanish Eagle","Aquila adalberti"
"spbduc","Eastern Spot-billed Duck","Anas zonorhyncha"
"spbfan1","Spot-breasted Fantail","Rhipidura albogularis"
"spbori","Spot-breasted Oriole","Icterus pectoralis"
"spbpel1","Spot-billed Pelican","Pelecanus philippensis"
"spbsan1","Spoon-billed Sandpiper","Calidris pygmaea"
"spbwoo1","Spot-breasted Woodpecker","Colaptes punctigula"
"spbwre1","Spot-breasted Wren","Pheugopedius maculipectus"
"spcant1","Spot-crowned Antvireo","Dysithamnus puncticeps"
"spcbar1","Spot-crowned Barbet","Capito maculicoronatus"
"spceup1","Spot-crowned Euphonia","Euphonia imitans"
"spctan1","Spangle-cheeked Tanager","Tangara dowii"
"spcwoo1","Spot-crowned Woodcreeper","Lepidocolaptes affinis"
"speduc2","Spectacled Duck","Speculanas specularis"
"speeid","Spectacled Eider","Somateria fischeri"
"spemou1","Speckled Mourner","Laniocera rufescens"
"spemou2","Speckled Mousebird","Colius striatus"
"speowl1","Spectacled Owl","Pulsatrix perspicillata"
"spepar1","Spectacled Parrotlet","Forpus conspicillatus"
"spepig1","Speckled Pigeon","Columba guinea"
"spetan1","Speckled Tanager","Ixothraupis guttata"
"spetea3","Andean Teal","Anas andium"
"spetyr1","Spectacled Tyrant","Hymenops perspicillatus"
"spfgal1","Spot-flanked Gallinule","Porphyriops melanops"
"spfswi1","Spot-fronted Swift","Cypseloides cherriei"
"spispi1","Spix's Spinetail","Synallaxis spixi"
"splfai1","Splendid Fairywren","Malurus splendens"
"spnthr1","Yellow-throated Nightingale-Thrush","Catharus dryas"
"spoant1","Spotted Antbird","Hylophylax naevioides"
"spobar1","Spotted Barbtail","Premnoplex brunnescens"
"spocra2","Spotless Crake","Zapornia tabuensis"
"spodov","Spotted Dove","Spilopelia chinensis"
"sponot1","Spotted Nothura","Nothura maculosa"
"spoowl","Spotted Owl","Strix occidentalis"
"spoowl1","Spotted Owlet","Athene brama"
"spopar1","Spotted Pardalote","Pardalotus punctatus"
"sporai","Spotted Rail","Pardirallus maculatus"
"sposan","Spotted Sandpiper","Actitis macularius"
"sposha1","Spotted Shag","Phalacrocorax punctatus"
"sposta1","Spotless Starling","Sturnus unicolor"
"spotow","Spotted Towhee","Pipilo maculatus"
"spowoo1","Spotted Woodcreeper","Xiphorhynchus erythropygius"
"spowre1","Spotted Wren","Campylorhynchus gularis"
"sprgro","Spruce Grouse","Canachites canadensis"
"sprpip","Sprague's Pipit","Anthus spragueii"
"sptfly1","Spotted Tody-Flycatcher","Todirostrum maculatum"
"spthum1","Sparkling-tailed Hummingbird","Tilmatura dupontii"
"sptnig1","Spot-tailed Nightjar","Antiurus maculicaudus"
"spvear1","Sparkling Violetear","Colibri coruscans"
"spwpig3","Spot-winged Pigeon","Patagioenas maculosa"
"spwqua1","Spotted Wood-Quail","Odontophorus guttatus"
"squcuc1","Squirrel Cuckoo","Piaya cayana"
"srwswa1","Southern Rough-winged Swallow","Stelgidopteryx ruficollis"
"sstspa","Saltmarsh Sparrow","Ammospiza caudacuta"
"stbbit1","Stripe-backed Bittern","Botaurus involucris"
"stbear2","Straight-billed Earthcreeper","Ochetorhynchus ruficaudus"
"stbori","Streak-backed Oriole","Icterus pustulatus"
"stbree2","Straight-billed Reedhaunter","Limnoctites rectirostris"
"stbspi1","Stripe-breasted Spinetail","Synallaxis cinnamomea"
"stbtre1","Streak-breasted Treehunter","Thripadectes rufobrunneus"
"stbwoo1","Strong-billed Woodcreeper","Xiphocolaptes promeropirhynchus"
"stbwoo2","Straight-billed Woodcreeper","Dendroplex picus"
"stbwre1","Stripe-breasted Wren","Cantorchilus thoracicus"
"stcant2","Streak-chested Antpitta","Hylopezus perspicillatus"
"stcwoo1","Stripe-cheeked Woodpecker","Piculus callopterus"
"steeag1","Steppe Eagle","Aquila nipalensis"
"steeid","Steller's Eider","Polysticta stelleri"
"stejay","Steller's Jay","Cyanocitta stelleri"
"stelio1","Taiwan Liocichla","Liocichla steerii"
"stfgle1","Scaly-throated Foliage-gleaner","Anabacerthia variegaticeps"
"stftyr1","Short-tailed Field Tyrant","Muscigralla brevicauda"
"sthbrf3","Costa Rican Brushfinch","Arremon costaricensis"
"sthspa1","Stripe-headed Sparrow","Peucaea ruficauda"
"sthwoo1","Streak-headed Woodcreeper","Lepidocolaptes souleyetii"
"stisan","Stilt Sandpiper","Calidris himantopus"
"stitap1","Stiles's Tapaculo","Scytalopus stilesi"
"stitch1","Stitchbird","Notiomystis cincta"
"stlori1","St. Lucia Oriole","Icterus laudabilis"
"stlpar1","St. Lucia Amazon","Amazona versicolor"
"stlwar","St. Lucia Warbler","Setophaga delicata"
"stnibi1","Straw-necked Ibis","Threskiornis spinicollis"
"stofly1","Stolid Flycatcher","Myiarchus stolidus"
"stonec4","European Stonechat","Saxicola rubicola"
"strcar1","Striated Caracara","Daptrius australis"
"strcuc1","Striped Cuckoo","Tapera naevia"
"stream2","Red-billed Streamertail","Trochilus polytmus"
"stream3","Black-billed Streamertail","Trochilus scitulus"
"strfly1","Streaked Flycatcher","Myiodynastes maculatus"
"strher","Striated Heron","Butorides striata"
"strowl1","Striped Owl","Asio clamator"
"strpri8","Striped Prinia","Prinia striata"
"strsal1","Streaked Saltator","Saltator striatipectus"
"strspa1","Striped Sparrow","Oriturus superciliosus"
"strtho1","Striated Thornbill","Acanthiza lineata"
"strwea2","Streaked Weaver","Ploceus manyar"
"strwoo","Strickland's Woodpecker","Dryobates stricklandi"
"strwoo5","Western Woodhaunter","Automolus virgatus"
"strwoo6","Striped Woodpecker","Dryobates lignarius"
"strxen1","Streaked Xenops","Xenops rutilans"
"sttbab1","Pin-striped Tit-Babbler","Mixornis gularis"
"stther2","Stripe-throated Hermit","Phaethornis striigularis"
"stthum1","Stripe-tailed Hummingbird","Eupherusa eximia"
"sttspa1","Stub-tailed Spadebill","Platyrinchus cancrominus"
"sttspi1","Streaked Tit-Spinetail","Leptasthenura striata"
"sttwre1","Stripe-throated Wren","Cantorchilus leucopogon"
"stvpar1","St. Vincent Amazon","Amazona guildingii"
"stybul1","Styan's Bulbul","Pycnonotus taivanus"
"styowl1","Stygian Owl","Asio stygius"
"subfly","Sulphur-bellied Flycatcher","Myiodynastes luteiventris"
"subsni1","Subantarctic Snipe","Coenocorypha aucklandica"
"succoc","Sulphur-crested Cockatoo","Cacatua galerita"
"sufdov1","Superb Fruit-Dove","Ptilinopus superbus"
"sulfly1","Sulphury Flycatcher","Tyrannopsis sulphurea"
"sumtan","Summer Tanager","Piranga rubra"
"sumwre1","Sumichrast's Wren","Hylorchilus sumichrasti"
"sunbit1","Sunbittern","Eurypyga helias"
"sungre1","Sungrebe","Heliornis fulica"
"supfai1","Superb Fairywren","Malurus cyaneus"
"suppar1","Superb Parrot","Polytelis swainsonii"
"supwre1","Superciliated Wren","Cantorchilus superciliaris"
"surfbi","Surfbird","Calidris virgata"
